Key,SourceString
EXPLANATION_ID_ITEM_DAIJINAMONO_KUSARINOHATIGANE,"Delivery with\neffects by a\npot alchemist.",
NAME_ID_ITEM_DAIJINAMONO_KUSYAKUSYANOTEGAMI,"Wrinkled Letter",
RUBY_ID_ITEM_DAIJINAMONO_KUSYAKUSYANOTEGAMI,"Wrinkled Letter",
EXPLANATION_ID_ITEM_DAIJINAMONO_KUSYAKUSYANOTEGAMI,"Wrinkled letter\nmixed in with\na present.",
NAME_ID_ITEM_DAIJINAMONO_KYAPUTENMANTO,"Captain's Outfit",
RUBY_ID_ITEM_DAIJINAMONO_KYAPUTENMANTO,"Captain's Outfit",
EXPLANATION_ID_ITEM_DAIJINAMONO_KYAPUTENMANTO,"To look like a\ntrusty captain\nFor Hyuza only.",
NAME_ID_ITEM_DAIJINAMONO_KYUPIDDOISYOUKEN,"Cupid Costume Ticket",
RUBY_ID_ITEM_DAIJINAMONO_KYUPIDDOISYOUKEN,"Cupid Costume Ticket",
EXPLANATION_ID_ITEM_DAIJINAMONO_KYUPIDDOISYOUKEN,"Rent a Cupid\nCostume for\nfree anytime.",
NAME_ID_ITEM_DAIJINAMONO_MADDOREZA_1,"Mad Leather",
RUBY_ID_ITEM_DAIJINAMONO_MADDOREZA_1,"Mad Leather",
EXPLANATION_ID_ITEM_DAIJINAMONO_MADDOREZA_1,"One Strong and\nwell-stretched\npale pink pelt.",
NAME_ID_ITEM_DAIJINAMONO_MADDOREZA_2,"Mad Leather",
RUBY_ID_ITEM_DAIJINAMONO_MADDOREZA_2,"Mad Leather",
EXPLANATION_ID_ITEM_DAIJINAMONO_MADDOREZA_2,"Two Strong and\nwell-stretched\npale pink pelts.",
NAME_ID_ITEM_DAIJINAMONO_MADOHANDORO,"Muddy Hand Mud",
RUBY_ID_ITEM_DAIJINAMONO_MADOHANDORO,"Muddy Hand Mud",
EXPLANATION_ID_ITEM_DAIJINAMONO_MADOHANDORO,"Nutrient-rich soil\nused for growing\nmedical herbs.",
NAME_ID_ITEM_DAIJINAMONO_MADOUNOHAGURUMA,"Magic Gear",
RUBY_ID_ITEM_DAIJINAMONO_MADOUNOHAGURUMA,"Magic Gear",
EXPLANATION_ID_ITEM_DAIJINAMONO_MADOUNOHAGURUMA,"Mysterious gear\nthat turns with\nmagic power.",
NAME_ID_ITEM_DAIJINAMONO_MADOUNOISI,"Magic Stone",
RUBY_ID_ITEM_DAIJINAMONO_MADOUNOISI,"Magic Stone",
EXPLANATION_ID_ITEM_DAIJINAMONO_MADOUNOISI,"Precious gem\nwith hidden\nmagic power.",
NAME_ID_ITEM_DAIJINAMONO_MADOUNOKAWA,"Magic Pelt",
RUBY_ID_ITEM_DAIJINAMONO_MADOUNOKAWA,"Magic Pelt",
EXPLANATION_ID_ITEM_DAIJINAMONO_MADOUNOKAWA,"Enchanted pelt\ndied red by a\nrenowned mage.",
NAME_ID_ITEM_DAIJINAMONO_MAHOUNOFUSEKI,"Flotation Stone",
RUBY_ID_ITEM_DAIJINAMONO_MAHOUNOFUSEKI,"Flotation Stone",
EXPLANATION_ID_ITEM_DAIJINAMONO_MAHOUNOFUSEKI,"Magic floating\nstone that's as\nlight than air.",
NAME_ID_ITEM_DAIJINAMONO_MAHOUNOTAMA,"Magic Ball",
RUBY_ID_ITEM_DAIJINAMONO_MAHOUNOTAMA,"Magic Ball",
EXPLANATION_ID_ITEM_DAIJINAMONO_MAHOUNOTAMA,"Precious ball\nfilled with\nmagic gunpowder.",
NAME_ID_ITEM_DAIJINAMONO_MAHOUNUNO,"Magicloth",
RUBY_ID_ITEM_DAIJINAMONO_MAHOUNUNO,"Magicloth",
EXPLANATION_ID_ITEM_DAIJINAMONO_MAHOUNUNO,"Mysterious\ncloth that can\nwrap Miasmite.",
NAME_ID_ITEM_DAIJINAMONO_MAHOUSENSHINOAKASHI,"Proof of ARM",
RUBY_ID_ITEM_DAIJINAMONO_MAHOUSENSHINOAKASHI,"Proof of ARM",
EXPLANATION_ID_ITEM_DAIJINAMONO_MAHOUSENSHINOAKASHI,"A medal given to\nthose recognized as\nan Armamentalist.",
NAME_ID_ITEM_DAIJINAMONO_MAHOUTUKAINOAKASHI,"Proof of MGE",
RUBY_ID_ITEM_DAIJINAMONO_MAHOUTUKAINOAKASHI,"Proof of MGE",
EXPLANATION_ID_ITEM_DAIJINAMONO_MAHOUTUKAINOAKASHI,"A medal given to\nthose recognized\nas a Mage.",
NAME_ID_ITEM_DAIJINAMONO_MAJYUUNOHIDARIDUNO,"Beast's Left Horn",
RUBY_ID_ITEM_DAIJINAMONO_MAJYUUNOHIDARIDUNO,"Beast's Left Horn",
EXPLANATION_ID_ITEM_DAIJINAMONO_MAJYUUNOHIDARIDUNO,"Unknown Left\nhorn mentioned\nin Choten Yugi.",
NAME_ID_ITEM_DAIJINAMONO_MAJYUUNOMIGIDUNO,"Beast's Right Horn",
RUBY_ID_ITEM_DAIJINAMONO_MAJYUUNOMIGIDUNO,"Beast's Right Horn",
EXPLANATION_ID_ITEM_DAIJINAMONO_MAJYUUNOMIGIDUNO,"Unknown Right\nhorn mentioned\nin Choten Yugi.",
NAME_ID_ITEM_DAIJINAMONO_MAJYUUNOUBUGE,"Magic Beast Fur",
RUBY_ID_ITEM_DAIJINAMONO_MAJYUUNOUBUGE,"Magic Beast Fur",
EXPLANATION_ID_ITEM_DAIJINAMONO_MAJYUUNOUBUGE,"Collected fur\ndropped by a\ncertain demon.",
NAME_ID_ITEM_DAIJINAMONO_MAKOURENZU,"Magic Mirror Lens",
RUBY_ID_ITEM_DAIJINAMONO_MAKOURENZU,"Magic Lens",
EXPLANATION_ID_ITEM_DAIJINAMONO_MAKOURENZU,"A part used to repair\nGran Zedora Castle's\nsecret meeting room.",
NAME_ID_ITEM_DAIJINAMONO_MAMONOTSUKAINOAKASHI,"Proof of MON",
RUBY_ID_ITEM_DAIJINAMONO_MAMONOTSUKAINOAKASHI,"Proof of MON",
EXPLANATION_ID_ITEM_DAIJINAMONO_MAMONOTSUKAINOAKASHI,"A medal given to\nthose recognized as\na Monster Master.",
NAME_ID_ITEM_DAIJINAMONO_MANEKINOREITEKI,"Spirit Summoner",
RUBY_ID_ITEM_DAIJINAMONO_MANEKINOREITEKI,"Beckoning Flute",
EXPLANATION_ID_ITEM_DAIJINAMONO_MANEKINOREITEKI,"An ocarina with the\nability to summon\npeople by blowing it.",
NAME_ID_ITEM_DAIJINAMONO_MAPORENASUTEKKI,"Genie Sanguini Wand",
RUBY_ID_ITEM_DAIJINAMONO_MAPORENASUTEKKI,"Genie Sanguini Wand",
EXPLANATION_ID_ITEM_DAIJINAMONO_MAPORENASUTEKKI,"Delivery\nrequested by a\nWoodworker.",
NAME_ID_ITEM_DAIJINAMONO_MARIBUNOTEGAMI,"Marieve's Letter",
RUBY_ID_ITEM_DAIJINAMONO_MARIBUNOTEGAMI,"Marieve's Letter",
EXPLANATION_ID_ITEM_DAIJINAMONO_MARIBUNOTEGAMI,"Important love\nletter for the man\nfrom the bottle.",
NAME_ID_ITEM_DAIJINAMONO_MARYOKUNORENKON,"Sorcery Soul",
RUBY_ID_ITEM_DAIJINAMONO_MARYOKUNORENKON,"Sorcery Soul",
EXPLANATION_ID_ITEM_DAIJINAMONO_MARYOKUNORENKON,"Magical jewel formed\nfrom within the body\nof a monster.",
NAME_ID_ITEM_DAIJINAMONO_MASUTAKI,"Master Key",
RUBY_ID_ITEM_DAIJINAMONO_MASUTAKI,"Master Key",
EXPLANATION_ID_ITEM_DAIJINAMONO_MASUTAKI,"Special key\nonly ITM may\npossess.",
NAME_ID_ITEM_DAIJINAMONO_MASYOUSEKINOTUTUMI,"Wrapped Miasmite",
RUBY_ID_ITEM_DAIJINAMONO_MASYOUSEKINOTUTUMI,"Wrapped Miasmite",
EXPLANATION_ID_ITEM_DAIJINAMONO_MASYOUSEKINOTUTUMI,"Magic cloth\nwrapped around\na Miasmite.",
NAME_ID_ITEM_DAIJINAMONO_MAZIKARUESSENSU,"Magical Essence",
RUBY_ID_ITEM_DAIJINAMONO_MAZIKARUESSENSU,"Magical Essence",
EXPLANATION_ID_ITEM_DAIJINAMONO_MAZIKARUESSENSU,"Glossy liquid\nthat glitters\nmagically.",
NAME_ID_ITEM_DAIJINAMONO_MEGAMINOGURENSEKI,"Red Goddess Gem",
RUBY_ID_ITEM_DAIJINAMONO_MEGAMINOGURENSEKI,"Red Goddess Gem",
EXPLANATION_ID_ITEM_DAIJINAMONO_MEGAMINOGURENSEKI,"Red gem with\nthe blessings\nof a goddess.",
NAME_ID_ITEM_DAIJINAMONO_MEGAMINOOUGYOKUSEKI,"Yellow Goddess Gem",
RUBY_ID_ITEM_DAIJINAMONO_MEGAMINOOUGYOKUSEKI,"Yellow Goddess Gem",
EXPLANATION_ID_ITEM_DAIJINAMONO_MEGAMINOOUGYOKUSEKI,"Yellow gem with\nthe blessings\nof a goddess.",
NAME_ID_ITEM_DAIJINAMONO_MEGAMINOSIKOUSEKI,"Purple Goddess Gem",
RUBY_ID_ITEM_DAIJINAMONO_MEGAMINOSIKOUSEKI,"Purple Goddess Gem",
EXPLANATION_ID_ITEM_DAIJINAMONO_MEGAMINOSIKOUSEKI,"Purple gem with\nthe blessings\nof a goddess.",
NAME_ID_ITEM_DAIJINAMONO_MEGAMINOSOUGINSEKI,"Silver Goddess Gem",
RUBY_ID_ITEM_DAIJINAMONO_MEGAMINOSOUGINSEKI,"Silver Goddess Gem",
EXPLANATION_ID_ITEM_DAIJINAMONO_MEGAMINOSOUGINSEKI,"Silver gem with\nthe blessings\nof a goddess.",
NAME_ID_ITEM_DAIJINAMONO_MEGAMINOTENOUSEKI,"Pink Goddess Gem",
RUBY_ID_ITEM_DAIJINAMONO_MEGAMINOTENOUSEKI,"Pink Goddess Gem",
EXPLANATION_ID_ITEM_DAIJINAMONO_MEGAMINOTENOUSEKI,"Pink gem with\nthe blessings\nof a goddess.",
NAME_ID_ITEM_DAIJINAMONO_MEIZIDASUTA,"Mage Duster",
RUBY_ID_ITEM_DAIJINAMONO_MEIZIDASUTA,"Mage Duster",
EXPLANATION_ID_ITEM_DAIJINAMONO_MEIZIDASUTA,"Supplies magic\npower to object\nwiped with it.",
NAME_ID_ITEM_DAIJINAMONO_MERUSANKOMUGI,"Melsan Wheat",
RUBY_ID_ITEM_DAIJINAMONO_MERUSANKOMUGI,"Melsan Wheat",
EXPLANATION_ID_ITEM_DAIJINAMONO_MERUSANKOMUGI,"A specialty wheat\nharvested by those\nof Melsandy Village.",
NAME_ID_ITEM_DAIJINAMONO_MERUSANKOMUGIKO,"Melsan Wheat Flour",
RUBY_ID_ITEM_DAIJINAMONO_MERUSANKOMUGIKO,"Melsan Wheat Flour",
EXPLANATION_ID_ITEM_DAIJINAMONO_MERUSANKOMUGIKO,"Fresh flour made\nfrom Melsan Wheat\nat the waterwheel.",
NAME_ID_ITEM_DAIJINAMONO_METAMORUHANI,"Metamor Honey",
RUBY_ID_ITEM_DAIJINAMONO_METAMORUHANI,"Metamor Honey",
EXPLANATION_ID_ITEM_DAIJINAMONO_METAMORUHANI,"Honey that\nchanges flavor\nwith each lick.",
NAME_ID_ITEM_DAIJINAMONO_MIDORINOKARA,"Green Color",
RUBY_ID_ITEM_DAIJINAMONO_MIDORINOKARA,"Green Color",
EXPLANATION_ID_ITEM_DAIJINAMONO_MIDORINOKARA,"Deep green\ncolor given by\nGraham.",
NAME_ID_ITEM_DAIJINAMONO_MIDORINOKIIENBUREMU,"Green Key Emblem",
RUBY_ID_ITEM_DAIJINAMONO_MIDORINOKIIENBUREMU,"Green Key Emblem",
EXPLANATION_ID_ITEM_DAIJINAMONO_MIDORINOKIIENBUREMU,"Green emblem\nthat Azlan\nheroes receive.",
NAME_ID_ITEM_DAIJINAMONO_MIKIWAMENOISI,"Ascertaining Stone",
RUBY_ID_ITEM_DAIJINAMONO_MIKIWAMENOISI,"Ascertaining Stone",
EXPLANATION_ID_ITEM_DAIJINAMONO_MIKIWAMENOISI,"Ordinary stone\nwith no notable\nfeatures.",
NAME_ID_ITEM_DAIJINAMONO_MISHUANOFUKU,"Mishua's Outfit",
RUBY_ID_ITEM_DAIJINAMONO_MISHUANOFUKU,"Mishua's Outfit",
EXPLANATION_ID_ITEM_DAIJINAMONO_MISHUANOFUKU,"To look like a\nvillage girl.\nFor Anlucia only.",
NAME_ID_ITEM_DAIJINAMONO_MITUBOSIBURENDO,"3-Star Blend Beans",
RUBY_ID_ITEM_DAIJINAMONO_MITUBOSIBURENDO,"3-Star Blend Beans",
EXPLANATION_ID_ITEM_DAIJINAMONO_MITUBOSIBURENDO,"Luxury coffee\nbeans with a\nsplendid aroma.",
NAME_ID_ITEM_DAIJINAMONO_MIWAKUNOBUDOU,"Enchanted Grapes",
RUBY_ID_ITEM_DAIJINAMONO_MIWAKUNOBUDOU,"Enchanted Grapes",
EXPLANATION_ID_ITEM_DAIJINAMONO_MIWAKUNOBUDOU,"Suspicious\ngrapes grown on\na Treevil?",
NAME_ID_ITEM_DAIJINAMONO_MIZIKAKUNATTAROUSOKU,"Shortened Candle",
RUBY_ID_ITEM_DAIJINAMONO_MIZIKAKUNATTAROUSOKU,"Shortened Candle",
EXPLANATION_ID_ITEM_DAIJINAMONO_MIZIKAKUNATTAROUSOKU,"Short candle\nfound in the\nUnseen Room.",
NAME_ID_ITEM_DAIJINAMONO_MIZUNOHAIITTATUBO,"Water-filled Pot",
RUBY_ID_ITEM_DAIJINAMONO_MIZUNOHAIITTATUBO,"Water-filled Pot",
EXPLANATION_ID_ITEM_DAIJINAMONO_MIZUNOHAIITTATUBO,"Important pot\nfilled with\nprecious water.",
NAME_ID_ITEM_DAIJINAMONO_MOMOYONOKABAN,"Flameman's Bag",
RUBY_ID_ITEM_DAIJINAMONO_MOMOYONOKABAN,"Flameman's Bag",
EXPLANATION_ID_ITEM_DAIJINAMONO_MOMOYONOKABAN,"Special bag\nmade by Tote\nfor Flameman.",
NAME_ID_ITEM_DAIJINAMONO_MONSERONOYUNOHANA,"Monsero Hot Spring Flower",
RUBY_ID_ITEM_DAIJINAMONO_MONSERONOYUNOHANA,"Moncello Mineral Deposit",
EXPLANATION_ID_ITEM_DAIJINAMONO_MONSERONOYUNOHANA,"A mineral deposit\nfrom Monsero Hot\nSpring Ravine.",
NAME_ID_ITEM_DAIJINAMONO_MUGENNOTANE,"Dream Seed",
RUBY_ID_ITEM_DAIJINAMONO_MUGENNOTANE,"Dream Seed",
EXPLANATION_ID_ITEM_DAIJINAMONO_MUGENNOTANE,"Seed that has\na mysterious\nhidden power.",
NAME_ID_ITEM_DAIJINAMONO_MUGENNOZIRYOKUSEKI,"Infinite Magnetite",
RUBY_ID_ITEM_DAIJINAMONO_MUGENNOZIRYOKUSEKI,"Infinite Magnetite",
EXPLANATION_ID_ITEM_DAIJINAMONO_MUGENNOZIRYOKUSEKI,"Emits a permanent\nand strong magnetic\nforce.",
NAME_ID_ITEM_DAIJINAMONO_MURASAKINOKIIENBUREMU,"Purple Key Emblem",
RUBY_ID_ITEM_DAIJINAMONO_MURASAKINOKIIENBUREMU,"Purple Key Emblem",
EXPLANATION_ID_ITEM_DAIJINAMONO_MURASAKINOKIIENBUREMU,"Purple emblem\nthat Megistris\nheroes receive.",
NAME_ID_ITEM_DAIJINAMONO_NAGOMIOIRU,"Relaxation Oil",
RUBY_ID_ITEM_DAIJINAMONO_NAGOMIOIRU,"Relaxation Oil",
EXPLANATION_ID_ITEM_DAIJINAMONO_NAGOMIOIRU,"Perfumed oil\nthat calms the\nmind.",
NAME_ID_ITEM_DAIJINAMONO_NAMESIEKISU,"Tanning Extract",
RUBY_ID_ITEM_DAIJINAMONO_NAMESIEKISU,"Tanning Extract",
EXPLANATION_ID_ITEM_DAIJINAMONO_NAMESIEKISU,"Salve for tan\nskin, a Cat\nDemon's Secret.",
NAME_ID_ITEM_DAIJINAMONO_NANGOKUNOAROHA,"Tropical Aloha Outfit",
RUBY_ID_ITEM_DAIJINAMONO_NANGOKUNOAROHA,"Tropical Aloha Outfit",
EXPLANATION_ID_ITEM_DAIJINAMONO_NANGOKUNOAROHA,"To look like an\nendless summer.\nFor Duston only.",
NAME_ID_ITEM_DAIJINAMONO_NASIMUNOMAGAN,"Naseem's Evil Eye",
RUBY_ID_ITEM_DAIJINAMONO_NASIMUNOMAGAN,"Naseem's Evil Eye",
EXPLANATION_ID_ITEM_DAIJINAMONO_NASIMUNOMAGAN,"Legendary jewel\nwith immense\nmagical power.",
NAME_ID_ITEM_DAIJINAMONO_NAZONOKOBAKO,"Mystery Box",
RUBY_ID_ITEM_DAIJINAMONO_NAZONOKOBAKO,"Mystery Box",
EXPLANATION_ID_ITEM_DAIJINAMONO_NAZONOKOBAKO,"Small box with\na heavy lock.",
NAME_ID_ITEM_DAIJINAMONO_NEBANEBAEKISU,"Sticky Extract",
RUBY_ID_ITEM_DAIJINAMONO_NEBANEBAEKISU,"Sticky Extract",
EXPLANATION_ID_ITEM_DAIJINAMONO_NEBANEBAEKISU,"Sticky paste\nthat is hard\nto peel off.",
NAME_ID_ITEM_DAIJINAMONO_NEKOMANMANOMI,"Cat Manma Fruit",
RUBY_ID_ITEM_DAIJINAMONO_NEKOMANMANOMI,"Cat Manma Fruit",
EXPLANATION_ID_ITEM_DAIJINAMONO_NEKOMANMANOMI,"Fish-shaped\nfruit loved by\ncat monsters.",
NAME_ID_ITEM_DAIJINAMONO_NEKOYASINOMI,"Cat Coconut",
RUBY_ID_ITEM_DAIJINAMONO_NEKOYASINOMI,"Cat Coconut",
EXPLANATION_ID_ITEM_DAIJINAMONO_NEKOYASINOMI,"Colorful fruit\nhidden by a\ncat monster.",
NAME_ID_ITEM_DAIJINAMONO_NENETTONONIKKITYOU,"Nenette's Diary",
RUBY_ID_ITEM_DAIJINAMONO_NENETTONONIKKITYOU,"Nenette's Diary",
EXPLANATION_ID_ITEM_DAIJINAMONO_NENETTONONIKKITYOU,"Secret diary\nfound in\nNenette's Room.",
NAME_ID_ITEM_DAIJINAMONO_NIBERUNOYUBIWA,"Nibel's Ring",
RUBY_ID_ITEM_DAIJINAMONO_NIBERUNOYUBIWA,"Nibel's Ring",
EXPLANATION_ID_ITEM_DAIJINAMONO_NIBERUNOYUBIWA,"Toy ring that\nis cherished\nby Nibel.",
NAME_ID_ITEM_DAIJINAMONO_NIBURUHEIMUNOKAGI,"Nibelheim Key",
RUBY_ID_ITEM_DAIJINAMONO_NIBURUHEIMUNOKAGI,"Nibelheim Key",
EXPLANATION_ID_ITEM_DAIJINAMONO_NIBURUHEIMUNOKAGI,"Key that opens\nthe gate to\nNibelheim.",
NAME_ID_ITEM_DAIJINAMONO_NIZIIROBANENOSIKIRI,"Rainbow Wing Dividers",
RUBY_ID_ITEM_DAIJINAMONO_NIZIIROBANENOSIKIRI,"Rainbow Wing Dividers",
EXPLANATION_ID_ITEM_DAIJINAMONO_NIZIIROBANENOSIKIRI,"Light partition\nboards made of\ninsect wings.",
NAME_ID_ITEM_DAIJINAMONO_NIZIIRONOINGOTTO,"Rainbow Ingot",
RUBY_ID_ITEM_DAIJINAMONO_NIZIIRONOINGOTTO,"Rainbow Ingot",
EXPLANATION_ID_ITEM_DAIJINAMONO_NIZIIRONOINGOTTO,"Rare metal\nthat emits a\nrainbow glow.",
NAME_ID_ITEM_DAIJINAMONO_NIZIIRONOKISEKI,"Rainbow Augite",
RUBY_ID_ITEM_DAIJINAMONO_NIZIIRONOKISEKI,"Rainbow Augite",
EXPLANATION_ID_ITEM_DAIJINAMONO_NIZIIRONOKISEKI,"Expensive gem\nthat shines\nseven colors.",
NAME_ID_ITEM_DAIJINAMONO_NUKUSOU,"Nook Grass",
RUBY_ID_ITEM_DAIJINAMONO_NUKUSOU,"Nook Grass",
EXPLANATION_ID_ITEM_DAIJINAMONO_NUKUSOU,"Hot medicinal herb\nthat warms up one's\nbody.",
NAME_ID_ITEM_DAIJINAMONO_OASISUNOMIZU,"Oasis Water",
RUBY_ID_ITEM_DAIJINAMONO_OASISUNOMIZU,"Oasis Water",
EXPLANATION_ID_ITEM_DAIJINAMONO_OASISUNOMIZU,"Precious water\nindispensable\nin the desert.",
NAME_ID_ITEM_DAIJINAMONO_OBUNNOHURUISYASIN,"Old Oven Photograph",
RUBY_ID_ITEM_DAIJINAMONO_OBUNNOHURUISYASIN,"Old Oven Photograph",
EXPLANATION_ID_ITEM_DAIJINAMONO_OBUNNOHURUISYASIN,"Old photograph\nreceived from\nPipzer.",
NAME_ID_ITEM_DAIJINAMONO_ODORIKONOISYOU,"Dancer Costume",
RUBY_ID_ITEM_DAIJINAMONO_ODORIKONOISYOU,"Dancer Costume",
EXPLANATION_ID_ITEM_DAIJINAMONO_ODORIKONOISYOU,"Dancer costume\nordered by the\nGizant troupe.",
NAME_ID_ITEM_DAIJINAMONO_ODOROKONOAKASHI,"Proof of DNC",
RUBY_ID_ITEM_DAIJINAMONO_ODOROKONOAKASHI,"Proof of DNC",
EXPLANATION_ID_ITEM_DAIJINAMONO_ODOROKONOAKASHI,"A medal given to\nthose recognized\nas a Dancer.",
NAME_ID_ITEM_DAIJINAMONO_OMOIDENOTUBO,"Memory Jar",
RUBY_ID_ITEM_DAIJINAMONO_OMOIDENOTUBO,"Memory Jar",
EXPLANATION_ID_ITEM_DAIJINAMONO_OMOIDENOTUBO,"Jar filled with\na potter's\nmemories.",
NAME_ID_ITEM_DAIJINAMONO_OOMIMIZUNOKASEKI,"Wiggly Fossil",
RUBY_ID_ITEM_DAIJINAMONO_OOMIMIZUNOKASEKI,"Wiggly Fossil",
EXPLANATION_ID_ITEM_DAIJINAMONO_OOMIMIZUNOKASEKI,"Fossil used by\nancient Elves\nto make potions.",
NAME_ID_ITEM_DAIJINAMONO_OREMAGATTAKEN,"Bent Sword",
RUBY_ID_ITEM_DAIJINAMONO_OREMAGATTAKEN,"Bent Sword",
EXPLANATION_ID_ITEM_DAIJINAMONO_OREMAGATTAKEN,"Artificial\nsword with a\nbent tip.",
NAME_ID_ITEM_DAIJINAMONO_ORORAPAUDA,"Aurora Powder",
RUBY_ID_ITEM_DAIJINAMONO_ORORAPAUDA,"Aurora Powder",
EXPLANATION_ID_ITEM_DAIJINAMONO_ORORAPAUDA,"Pretty powder\nthat sparkles\nlike an aurora.",
NAME_ID_ITEM_DAIJINAMONO_OSOUJIBOU,"Cleaning Rod",
RUBY_ID_ITEM_DAIJINAMONO_OSOUJIBOU,"Cleaning Rod",
EXPLANATION_ID_ITEM_DAIJINAMONO_OSOUJIBOU,"Spiky rod for\ncleaning that\nleaves no dirt.",
NAME_ID_ITEM_DAIJINAMONO_OTOGINOMORI,"Fairy Forest Outfit",
RUBY_ID_ITEM_DAIJINAMONO_OTOGINOMORI,"Fairy Forest Outfit",
EXPLANATION_ID_ITEM_DAIJINAMONO_OTOGINOMORI,"To look like a\ncute fairy tale.\nFor Fuura only.",
NAME_ID_ITEM_DAIJINAMONO_OTOKAGENOKAWA,"Giant Lizard Skin",
RUBY_ID_ITEM_DAIJINAMONO_OTOKAGENOKAWA,"Giant Lizard Skin",
EXPLANATION_ID_ITEM_DAIJINAMONO_OTOKAGENOKAWA,"Thick strong\nskin of a\nMandrake Major.",
NAME_ID_ITEM_DAIJINAMONO_OTOKONOKORON,"Men's Cologne",
RUBY_ID_ITEM_DAIJINAMONO_OTOKONOKORON,"Men's Cologne",
EXPLANATION_ID_ITEM_DAIJINAMONO_OTOKONOKORON,"Adult fragrance\nenjoyed by a\ntrue gentleman.",
NAME_ID_ITEM_DAIJINAMONO_OTOUTOKARANOTEGAMI,"Brother's Letter",
RUBY_ID_ITEM_DAIJINAMONO_OTOUTOKARANOTEGAMI,"Brother's Letter",
EXPLANATION_ID_ITEM_DAIJINAMONO_OTOUTOKARANOTEGAMI,"Irreplaceable\nletter from a\nlost brother.",
NAME_ID_ITEM_DAIJINAMONO_OUGONHOTATE,"Golden Scallop",
RUBY_ID_ITEM_DAIJINAMONO_OUGONHOTATE,"Golden Scallop",
EXPLANATION_ID_ITEM_DAIJINAMONO_OUGONHOTATE,"Golden scallop\ntreasured by\nClawcerer",
NAME_ID_ITEM_DAIJINAMONO_OUGONNOKOMUGI,"Golden Wheat",
RUBY_ID_ITEM_DAIJINAMONO_OUGONNOKOMUGI,"Golden Wheat",
EXPLANATION_ID_ITEM_DAIJINAMONO_OUGONNOKOMUGI,"Sparkling wheat\nthat grows very\nrarely.",
NAME_ID_ITEM_DAIJINAMONO_OUGONNOMEGAMIZOU,"Golden Goddess Statue",
RUBY_ID_ITEM_DAIJINAMONO_OUGONNOMEGAMIZOU,"Golden Goddess Statue",
EXPLANATION_ID_ITEM_DAIJINAMONO_OUGONNOMEGAMIZOU,"Dazzling\nGoddess statue\nmade of gold.",
NAME_ID_ITEM_DAIJINAMONO_OUGONNOOUSYAKU,"Golden Scepter",
RUBY_ID_ITEM_DAIJINAMONO_OUGONNOOUSYAKU,"King's Golden Scepter",
EXPLANATION_ID_ITEM_DAIJINAMONO_OUGONNOOUSYAKU,"The Arahaghiro King's\nproof: a glorious,\ngolden scepter.",
NAME_ID_ITEM_DAIJINAMONO_OUKENOHUUTOU,"Royal Envelope",
RUBY_ID_ITEM_DAIJINAMONO_OUKENOHUUTOU,"Royal Envelope",
EXPLANATION_ID_ITEM_DAIJINAMONO_OUKENOHUUTOU,"Used by the\nroyal family of\nGran Zedora.",
NAME_ID_ITEM_DAIJINAMONO_PANNOKAGO,"Basket of Bread",
RUBY_ID_ITEM_DAIJINAMONO_PANNOKAGO,"Bread Basket",
EXPLANATION_ID_ITEM_DAIJINAMONO_PANNOKAGO,"Rustic basket\nwith Airi's\nhomemade bread.",
NAME_ID_ITEM_DAIJINAMONO_PANPANININOTO,"Panpanini's Notebook",
RUBY_ID_ITEM_DAIJINAMONO_PANPANININOTO,"Panpanini's Notebook",
EXPLANATION_ID_ITEM_DAIJINAMONO_PANPANININOTO,"A notebook filled\nwith Pampanini's\nfavorite scenes.",
NAME_ID_ITEM_DAIJINAMONO_PAPIYONBURESU,"Papillon Bracelet",
RUBY_ID_ITEM_DAIJINAMONO_PAPIYONBURESU,"Papillon Bracelet",
EXPLANATION_ID_ITEM_DAIJINAMONO_PAPIYONBURESU,"Bracelets that\nmatch on Clawde\nand Seraphi.",
NAME_ID_ITEM_DAIJINAMONO_PARADEXINNOAKASHI,"Proof of PLD",
RUBY_ID_ITEM_DAIJINAMONO_PARADEXINNOAKASHI,"Proof of PLD",
EXPLANATION_ID_ITEM_DAIJINAMONO_PARADEXINNOAKASHI,"A medal given to\nthose recognized\nas a Paladin.",
NAME_ID_ITEM_DAIJINAMONO_PASUHIKIKAEKEN,"Boarding Pass Voucher",
RUBY_ID_ITEM_DAIJINAMONO_PASUHIKIKAEKEN,"Boarding Pass Voucher",
EXPLANATION_ID_ITEM_DAIJINAMONO_PASUHIKIKAEKEN,"Voucher for a\nboarding pass\nto Lendersia.",
NAME_ID_ITEM_DAIJINAMONO_PIRAMIDDONOSYASIN,"Pyramid Photo",
RUBY_ID_ITEM_DAIJINAMONO_PIRAMIDDONOSYASIN,"Pyramid Photo",
EXPLANATION_ID_ITEM_DAIJINAMONO_PIRAMIDDONOSYASIN,"Pyramid photo\nfrom Defel\nDesert.",
NAME_ID_ITEM_DAIJINAMONO_PIYOPIYOMAME,"Chickpea",
RUBY_ID_ITEM_DAIJINAMONO_PIYOPIYOMAME,"Chickpea",
EXPLANATION_ID_ITEM_DAIJINAMONO_PIYOPIYOMAME,"A pea obtained from\na shady peddlar\nnamed Mr. Piyo-Piyo.",
NAME_ID_ITEM_DAIJINAMONO_POMUPOMUOIRU,"Pom Pom Oil",
RUBY_ID_ITEM_DAIJINAMONO_POMUPOMUOIRU,"Pom Pom Oil",
